GeographyCode,all,bed1,bed2,bed3,bed4,bed5
E08000015,140583,12243,30869,67933,22480,7058
E08000016,100734,6795,30297,50575,11182,1885
E08000017,126487,9091,30346,69266,14513,3271
E08000018,108293,8537,27494,57167,12616,2479
E08000019,229928,28961,61077,104120,25022,10748
E08000020,89154,8422,34122,36845,7604,2161
E08000021,117153,13707,38243,46950,11517,6736
E08000022,91295,9112,29925,39186,10217,2855
E08000023,67167,7135,22092,31479,5112,1349
E08000024,119758,12274,40407,51438,12705,2934
E08000025,410736,56686,102272,192977,41811,16990
E08000026,128592,12937,34358,64141,13144,4012
E08000027,129867,12026,31539,68937,14661,2704
E08000028,121498,13518,30265,66245,9115,2355
E08000029,86056,7373,16248,39684,17648,5103
E08000030,107822,8907,27204,57481,11296,2934
E08000031,102177,12728,24887,52307,9759,2496
E08000032,199296,23619,54221,80836,30988,9632
E08000033,88621,10961,29568,33268,11292,3532
E08000034,173525,21468,52440,68889,23954,6774
E08000035,320596,40488,97037,125874,42990,14207
E08000036,140414,10859,43334,65731,17168,3322
E09000001,4385,2412,1383,430,132,28
E09000002,69681,10413,25870,28939,3489,970
E09000003,135916,22225,40789,41878,20549,10475
E09000004,92604,9603,24590,42189,12981,3241
E09000005,110286,24764,32673,34371,12906,5572
E09000006,130862,17441,34471,48907,22182,7861
E09000007,97534,36325,31749,18521,7060,3879
E09000008,145010,24611,42226,53384,18312,6477
E09000009,124082,24560,35697,42241,14732,6852
E09000010,119916,19653,34909,47532,13112,4710
E09000011,101045,19352,33054,36715,9111,2813
E09000012,101690,32659,34990,23064,7665,3312
E09000013,80590,26259,26790,15866,7997,3678
E09000014,101955,28776,33269,24665,9473,5772
E09000015,84268,10083,20054,35640,13443,5048
E09000016,97199,9767,23641,48093,12419,3279
E09000017,100214,13699,29086,41866,11836,3727
E09000018,94902,17176,30768,33464,9531,3963
E09000019,93556,33708,32968,17609,6416,2855
E09000020,78536,29172,27644,13111,5358,3251
E09000021,63639,9877,18094,22928,8964,3776
E09000022,130017,36386,46216,30216,11755,5444
E09000023,116091,28245,39721,35056,9305,3764
E09000024,78757,12821,22580,29547,9494,4315
E09000025,101519,21898,33460,35202,8193,2766
E09000026,99105,13956,24671,39302,15492,5684
E09000027,79835,13461,24469,22420,12596,6889
E09000028,120422,35695,44364,27298,9233,3832
E09000029,78174,12093,23799,28940,9714,3628
E09000030,101257,30741,41799,20587,6049,2081
E09000031,96861,19148,30768,34672,9202,3071
E09000032,130493,31475,46279,30009,14597,8133
E09000033,105772,41568,38127,18210,5239,2628
W06000001,30594,1693,7352,15116,5010,1423
W06000002,52473,3433,13440,24307,8219,3074
W06000003,51177,5143,15752,20592,7336,2354
W06000004,40546,3423,12689,16744,6036,1654
W06000005,63781,3980,14371,33668,9817,1945
W06000006,57029,4449,16132,26991,7789,1668
W06000008,31562,2533,7719,13105,5773,2432
W06000009,53122,3608,13095,24578,8826,3015
W06000010,78829,4246,17399,40775,12953,3456
W06000011,103497,9986,27665,46996,14722,4128
W06000012,60393,3677,12771,35929,6885,1131
W06000013,58515,3311,13092,30853,9475,1784
W06000014,53505,4041,11811,23703,10526,3424
W06000015,142557,19871,35830,57188,22250,7418
W06000016,99663,5412,22497,56188,13183,2383
W06000018,74479,4248,16238,44045,8628,1320
W06000019,30416,1995,8810,17152,2094,365
W06000020,38524,2895,9479,20593,4867,690
W06000021,38233,2928,7141,16525,8942,2697
W06000022,61172,5494,12792,31508,9235,2143
W06000023,58345,3794,13605,26664,10569,3713
W06000024,24264,1468,5831,13837,2643,485
